"Table name
","Statecode
","Disttcode
",Areaname,Total/,Educational level,"Present age
",Total women ,Total ever married women,0,1,2,3,4,5,6,7+,P,M,F
F0324,24,000,State -  GUJARAT,Rural,Literate,25-29,895983,826684,135997,212077,289836,132136,39743,9915,3013,3967,1446973,758507,688466
F0324,24,000,State -  GUJARAT,Rural,Literate,30-34,750136,731733,62106,103320,282349,175436,70671,24039,8027,5785,1691592,892769,798823
F0324,24,000,State -  GUJARAT,Rural,Literate,35-39,595798,586848,37828,65586,215487,153785,70610,26907,10211,6434,1486098,789045,697053
F0324,24,000,State -  GUJARAT,Rural,Literate,40-44,467168,461640,27097,43801,154633,129289,63851,25623,10145,7201,1241339,660070,581269
F0324,24,000,State -  GUJARAT,Rural,Literate,45-49,341962,338306,19846,30735,100927,97019,52161,22023,9083,6512,947625,504884,442741
F0324,24,000,State -  GUJARAT,Rural,Literate,50-54,249274,246953,15322,19848,62058,71607,43759,19432,8498,6429,732168,390229,341939
F0324,24,000,State -  GUJARAT,Rural,Literate,55-59,181032,179281,11797,13778,37524,49545,35488,17082,7887,6180,560509,299273,261236
F0324,24,000,State -  GUJARAT,Rural,Literate,60-64,134444,131141,10008,9858,22315,32064,27302,15293,7677,6624,434153,231389,202764
F0324,24,000,State -  GUJARAT,Rural,Literate,65-69,85731,82482,6890,5821,11423,17226,17370,11515,6429,5808,291550,155764,135786
F0324,24,000,State -  GUJARAT,Rural,Literate,70-74,58502,57477,5248,4216,7210,9744,11197,8561,5514,5787,214025,114288,99737
F0324,24,000,State -  GUJARAT,Rural,Literate,75-79,28572,28114,2646,2024,3125,4195,4880,4307,3144,3793,110717,58967,51750
F0324,24,000,State -  GUJARAT,Rural,Literate,80+,35486,32904,3850,2923,4491,4491,4580,4006,3309,5254,125841,66787,59054
F0324,24,000,State -  GUJARAT,Rural,Literate but below primary,All Ages,2578827,1228873,150495,144657,296755,294071,180274,86730,41229,34662,3294159,1740677,1553482
F0324,24,000,State -  GUJARAT,Rural,Literate but below primary,Less than 15,1220350,9475,7216,413,1846,0,0,0,0,0,4105,2270,1835
F0324,24,000,State -  GUJARAT,Rural,Literate but below primary,15-19,138040,40196,27524,7797,2578,1173,1124,0,0,0,20968,11279,9689
F0324,24,000,State -  GUJARAT,Rural,Literate but below primary,20-24,155654,131300,41735,41134,32997,11080,2782,688,307,577,161179,84292,76887
F0324,24,000,State -  GUJARAT,Rural,Literate but below primary,25-29,160717,155328,18269,26043,54368,37877,13325,3568,984,894,332717,173903,158814
F0324,24,000,State -  GUJARAT,Rural,Literate but below primary,30-34,163853,161563,11441,14421,48694,48860,24203,9031,3147,1766,433152,226130,207022
F0324,24,000,State -  GUJARAT,Rural,Literate but below primary,35-39,149776,148432,8447,11904,40600,44472,25200,10774,4460,2575,427753,224076,203677
F0324,24,000,State -  GUJARAT,Rural,Literate but below primary,40-44,136322,135296,7282,10374,34886,39790,24038,10994,4707,3225,403901,213067,190834
F0324,24,000,State -  GUJARAT,Rural,Literate but below primary,45-49,111870,111204,5811,8836,26299,32467,20687,9694,4317,3093,339930,180908,159022
F0324,24,000,State -  GUJARAT,Rural,Literate but below primary,50-54,92504,91985,5154,6580,18989,26082,18581,9129,4162,3308,293539,156517,137022
F0324,24,000,State -  GUJARAT,Rural,Literate but below primary,55-59,72970,72563,4209,4977,12916,19265,15746,8219,4037,3194,241948,129326,112622
F0324,24,000,State -  GUJARAT,Rural,Literate but below primary,60-64,61146,60581,4048,4221,9135,14019,13313,7995,4143,3707,211676,113181,98495
F0324,24,000,State -  GUJARAT,Rural,Literate but below primary,65-69,42663,42143,3041,2797,5199,8397,9159,6458,3692,3400,156123,83460,72663
